Electorate,Arrived 1905 - 1950,Arrived 1951 - 1960,Arrived 1961 - 1970,Arrived 1971 - 1980,Arrived 1981 - 1990,Arrived 1991 - 2000,Arrived 2001 - 2010,Arrived 2011 - 2020,Arrived 1 January 2021 - 10 August 2021,Not stated,Not applicable,Total
Bass,258,1203,1936,1550,1337,925,2297,6689,71,432,93277,109977
Braddon,259,1062,1892,1365,1179,830,1347,2898,95,379,98243,109556
Clark,369,1167,1916,1641,1694,1523,4013,14989,123,615,83705,111750
Franklin,338,1253,2190,1916,1705,1238,2874,6293,65,502,93465,111833
Lyons,250,987,1995,1541,1308,801,1305,2429,20,451,101976,113067
Brand,347,1193,5700,4461,5093,4303,13834,13676,216,1148,107305,157271
Bullwinkel,707,1888,6353,5353,5912,3896,8424,6480,116,1564,117531,158227
Burt,311,1162,4634,4384,6114,5467,21251,22727,298,1260,109274,176886
Canning,544,1603,5175,4392,4206,3024,9744,9144,136,1020,111169,150158
Cowan,512,1938,4964,4779,8880,8550,16752,19651,215,1505,99733,167485
Curtin,717,1631,3596,4543,6847,6101,11638,18160,438,997,109499,164161
Durack,279,906,2845,2570,3084,2663,7158,9830,350,1037,159909,190634
Forrest,537,1344,3768,3269,3530,2526,6610,7406,141,971,121737,151844
Fremantle,475,1913,4936,4257,6237,5659,12565,14060,226,1023,106114,157466
Hasluck,418,1409,4203,3884,6222,5876,15779,15118,207,1148,100532,154812
Moore,468,1571,4605,5649,9580,7257,14846,12436,171,896,104452,161934
O'Connor,550,1560,4207,3333,3375,2440,6150,7400,313,1217,141376,171921
Pearce,248,831,3280,3976,7223,6955,23580,18442,239,1058,93075,158900
Perth,683,2139,4479,4777,7689,7087,12667,24011,434,1348,103128,168448
Swan,584,1625,4452,4694,7107,6940,17909,31849,418,1708,105354,182642
Tangney,598,1670,4587,5450,10821,8782,19676,20241,298,1345,105207,178670
Aston,574,2536,4675,4494,7788,6477,14594,13356,144,1006,118079,173720
Ballarat,357,1677,2114,1721,1587,1250,3177,4744,69,545,134656,151898
Bendigo,327,1230,1825,1509,1326,1127,3237,4725,64,722,141127,157214
Bruce,386,2404,5698,6125,10917,11687,21499,25920,485,1702,108256,195072
Calwell,179,1420,4097,4568,6273,9158,20721,32314,295,1808,98170,179010
Casey,561,2818,4460,3205,3255,2417,4986,4815,73,552,135392,162538
Chisholm,640,2795,5047,5011,10177,9956,19034,28452,490,1464,106568,189630
Cooper,380,3576,6891,4115,5290,4982,8229,15048,194,1369,112814,162885
Corangamite,523,2074,2748,1842,1830,1408,3897,5827,83,630,119066,139922
Corio,610,2964,4390,2515,2382,2207,5176,9912,129,1085,136742,168104
Deakin,683,2787,4105,4018,6279,5783,14121,17602,212,1018,127430,184037
Dunkley,535,2292,4783,4080,5259,4110,7589,7363,125,884,132327,169345
Flinders,825,3310,5450,4023,3490,2233,4415,3901,66,1012,135139,163863
Fraser,554,2715,5815,6505,13783,11250,15108,27885,355,2484,102699,189151
Gellibrand,357,2146,4296,3441,5761,7224,25212,36230,617,1731,111018,198038
Gippsland,646,2726,3094,1994,1716,1131,2413,3624,74,986,135949,154357
Goldstein,895,2707,4326,4703,6245,6771,10819,15046,321,1000,118060,170886
Gorton,355,2248,5864,6631,9724,9922,18156,20462,283,2077,102234,177966
Hawke,389,1951,3778,3066,3441,3258,10517,12541,182,845,125719,165679
Holt,220,1120,2555,2857,6025,7651,24027,26128,423,1261,102214,174480
Hotham,421,2892,7024,6303,10670,10292,19245,37730,516,2255,98885,196246
Indi,590,2141,2575,1734,1489,1056,2223,3824,94,647,140253,156620
Isaacs,428,1992,4692,5334,10684,10105,15867,22122,342,1723,104927,178210
Jagajaga,604,2851,4289,3188,4355,4470,8139,9729,135,728,126488,164977
Kooyong,1023,2696,3949,4291,6998,6501,10675,18089,372,935,117138,172664
La Trobe,290,1374,2498,2429,3617,3620,15299,17145,188,787,111773,159025
Lalor,301,1485,3060,2548,4137,5381,24638,35736,471,1411,100571,179732
Macnamara,827,2064,3396,3687,5155,6202,11330,28674,592,1110,105342,168371
Mallee,362,1497,1945,1232,1218,1123,2721,7213,189,844,149288,167639
Maribyrnong,639,4325,6535,4263,5511,4948,7791,13890,205,1072,118690,167869
McEwen,313,1548,2793,2062,2365,2398,8697,10207,160,672,123839,155045
Melbourne,322,1185,2452,2847,5518,7604,15139,55404,1384,1506,108471,201840
Menzies,862,4384,5666,5123,9798,9664,18081,28123,467,1662,104779,188620
Monash,660,2872,3447,2336,2301,1300,2408,2827,76,726,127396,146349
Nicholls,433,1939,2332,1293,1139,1549,3962,7460,177,798,144022,165099
Scullin,270,3072,7883,5510,6762,7584,16451,22248,203,1525,97933,169443
Wannon,318,1384,1817,1295,1280,1123,2340,4047,133,779,145116,159632
Wills,537,4092,6412,4250,4790,5011,9103,18179,296,1171,115369,169207
Adelaide,721,3812,5378,3697,5427,5209,13522,32959,498,1464,124941,197621
Barker,397,2147,3665,1779,1293,1089,2760,5076,140,994,152351,171687
Boothby,847,3084,4783,3343,3666,3361,9268,15770,212,912,130374,175626
Grey,358,1952,4684,2177,1192,764,1906,3348,102,758,154232,171485
Hindmarsh,965,4185,5998,3275,3904,3993,8215,13431,188,1046,127336,172532
Kingston,466,2392,6410,4453,4195,3167,8403,6920,82,795,128818,166105
Makin,599,3259,7332,4665,4830,4002,11043,14809,184,1176,121859,173757
Mayo,637,3122,6207,4086,3213,2294,5216,4034,79,881,143969,173735
Spence,322,2818,7648,3972,4022,3026,9174,13411,200,1292,142339,188227
Sturt,1100,5411,6219,3687,4611,4280,13387,23250,295,1170,123949,187354
Bean,541,1750,3881,3668,4504,3741,7056,11476,239,833,114919,152610
Canberra,573,1713,3091,3236,3807,4216,7535,16383,310,795,103850,145507
Fenner,347,1169,2494,2654,4155,5187,13713,20937,205,918,106495,158267
Lingiari,63,341,995,1247,1415,1334,3737,6974,256,869,103763,121004
Solomon,126,564,1659,2416,2917,2361,6567,16278,135,764,76505,110288
Blair,257,1000,2398,2591,3355,3329,8566,9834,208,1004,157412,189948
Bonner,425,1235,2380,3241,5402,5984,14269,14804,291,922,113928,162883
Bowman,553,1698,3386,3642,4975,4397,9857,7083,130,997,122509,159222
Brisbane,264,963,2059,2790,4428,5307,11186,25186,579,953,129539,183255
Capricornia,195,640,1198,1324,1541,1281,3914,4984,127,524,144068,159792
Dawson,326,957,1777,1809,2092,1866,5460,7505,308,676,139309,162083
Dickson,274,1040,2295,2792,3972,4168,9324,7526,118,633,127427,159571
Fadden,540,1807,3643,4402,6861,7767,16390,17127,350,1560,134178,194617
Fairfax,494,1645,3412,3660,4065,3616,8413,9302,166,906,133788,169466
Fisher,496,1787,3372,3509,4002,3468,8089,9052,219,890,137296,172185
Flynn,172,801,1707,1822,1810,1492,3792,5242,208,628,141015,158677
Forde,351,1323,3369,4244,6535,6686,13957,14304,242,1393,140933,193345
Griffith,299,1057,2017,3021,4818,5443,11786,21861,544,979,125772,177589
Groom,268,901,1578,1507,1651,1523,5084,9620,155,550,138043,160864
Herbert,270,924,2008,1930,2508,2196,5445,6867,143,560,141185,164046
Hinkler,501,1895,3598,3201,3020,2188,3614,4822,194,845,132681,156565
Kennedy,414,1615,2402,2139,2319,1978,3757,5492,229,1056,150007,171402
Leichhardt,342,1265,2867,3506,4656,4458,8575,11007,214,1080,137644,175620
Lilley,363,1148,2034,2695,4195,4386,10269,12862,216,878,122518,161558
Longman,475,1708,3447,3560,4375,3497,7537,7598,129,1256,153009,186589
Maranoa,273,907,1634,1438,1456,1047,2140,3472,131,534,138383,151422
McPherson,498,1611,2893,3486,4831,5313,10033,10800,261,1069,122822,163608
Moncrieff,618,2095,3850,4399,6622,7074,11941,20187,419,1394,123554,182143
Moreton,404,968,2109,3350,6929,8983,17365,23992,356,1553,102473,168476
Oxley,332,1056,2618,4134,8813,9054,19402,20002,353,2101,118658,186519
Petrie,452,1584,3248,3581,5143,5192,15012,14900,251,1086,134836,185285
Rankin,282,980,2604,3701,7680,9773,20817,21869,300,1538,117311,186856
Ryan,423,885,2194,3079,4908,5517,12612,17570,500,708,115407,163797
Wide Bay,459,1602,3244,3113,3292,2411,4086,4117,105,902,128905,152236
Wright,287,1244,3133,3462,4680,4102,7580,6677,206,997,149289,181665
Banks,428,1707,4829,5876,10451,10959,13186,14280,154,1544,107934,171343
Barton,338,2665,7872,7749,12243,12803,18315,35817,328,3076,97629,198827
Bennelong,586,1774,3922,5518,11424,12680,18964,30899,541,1728,105142,193177
Berowra,635,1745,3793,4766,10049,12708,19751,23768,457,1379,114796,193842
Blaxland,288,1088,4214,8124,12446,14531,21962,38762,426,3453,98951,204250
Bradfield,791,1864,3874,5978,11963,13166,20262,25065,674,1334,107935,192900
Calare,434,1118,2152,1705,1574,1303,2376,4112,47,853,153557,169232
Chifley,290,887,2732,3226,9279,12810,21145,24906,230,1594,98292,175396
Cook,587,1925,4041,3695,4505,4415,6119,6905,149,730,123392,156462
Cowper,581,1748,3143,2504,2353,1669,3109,4928,135,909,146009,167076
Cunningham,592,3254,6067,5351,3732,3516,5381,9882,132,1171,139016,178088
Dobell,527,1540,3405,2906,3123,2565,3930,4279,80,701,139280,162337
Eden-Monaro,571,1973,3592,2912,2665,1986,3644,5679,156,830,139906,163903
Farrer,475,1657,1977,1233,1365,1367,3281,7622,162,710,153271,173116
Fowler,377,1660,4429,9750,17977,16924,16338,27677,324,3191,81573,180214
Gilmore,783,2703,4579,3278,2390,1651,2431,3224,60,932,139219,161247
Grayndler,333,2295,6110,6241,8481,7889,10311,16278,183,1698,110942,170759
Greenway,231,837,2033,2816,6939,10221,22211,26239,292,1259,95480,168565
Hughes,367,1317,3377,3716,6175,7181,10556,9841,125,1053,117623,161332
Hume,398,1422,3220,3070,3609,3445,5231,5065,79,646,125184,151371
Hunter,511,1320,2102,1893,1892,1469,2794,2987,63,776,151776,167583
Kingsford Smith,515,2362,5311,6293,8837,9959,13782,30031,457,1925,105106,184591
Lindsay,447,1425,3979,3470,4846,5201,9872,10575,132,1003,132985,173936
Lyne,620,1650,3034,2204,1869,1088,1722,1869,43,668,142565,157347
Macarthur,223,1051,2992,4045,7498,8163,12917,12742,174,1111,109694,160613
Mackellar,730,2060,4690,4621,6419,7223,11217,12440,175,959,126196,176719
Macquarie,635,2012,4476,3826,3727,2761,3110,3425,38,634,134603,159250
McMahon,536,2054,4789,5842,10976,13006,17240,26547,203,1863,100922,183982
Mitchell,516,1478,3332,4605,10407,12769,20076,20180,387,1074,104800,179625
New England,254,876,1594,1346,1225,1101,2327,6452,196,633,161823,177826
Newcastle,480,1177,2264,1982,2235,2142,4523,9324,215,681,142180,167192
Page,403,1384,2533,2172,2124,1475,2682,3744,103,820,154472,171908
Parkes,221,657,1065,839,883,762,2005,4651,179,393,169725,181379
Parramatta,368,1220,2944,4310,11001,15240,27174,53183,993,1956,93340,211733
Paterson,539,1338,2283,1908,1944,1421,3019,3976,96,483,142932,159939
Reid,464,2620,5004,6284,10900,12324,20522,43275,552,2604,97280,201820
Richmond,550,1787,3361,3174,3351,2828,4805,6464,108,1063,139941,167436
Riverina,344,1080,1711,1390,1346,1155,2571,5715,208,603,159324,175452
Robertson,548,1691,3481,3319,3780,3294,5986,6254,104,778,123119,152356
Shortland,630,1523,2570,2054,1941,1579,2698,2994,65,444,140510,157009
Sydney,321,1108,3040,4598,8311,11074,18205,51020,1125,1948,112521,213261
Warringah,701,1645,3751,4885,7588,8537,14177,22407,546,1040,116337,181612
Watson,329,1628,5740,9064,13653,13764,18849,29819,410,3205,97064,193515
Wentworth,1098,2194,3502,5433,7728,8585,11972,25184,485,1637,111537,179353
Werriwa,188,1066,3274,6469,13325,15408,16732,15867,162,1813,92159,166468
Whitlam,637,2810,6309,4597,2950,2118,3376,4050,60,866,137704,165474
Total,70426,273761,557907,544464,787037,792522,1556092,2243575,38030,170733,18335303,25369858