Electorate,Households where mortgage repayments are less than or equal to 30% of household income,Households where mortgage repayments are more than 30% of household income,Unable to be determined,Not applicable,Total
Banks,13284,4321,2084,44738,64427
Barton,13646,5006,2156,58022,78827
Bennelong,15279,4781,2191,60557,82800
Berowra,17965,4475,2457,46670,71568
Blaxland,9661,4591,2116,54083,70460
Bradfield,14837,4902,2449,52755,74935
Calare,15618,2297,2493,55020,75430
Chifley,14636,4179,2240,37438,58498
Cook,14625,3890,2093,44233,64844
Cowper,12781,2526,1997,60512,77817
Cunningham,15497,2784,2005,55285,75565
Dobell,15826,3010,2303,47090,68233
Eden-Monaro,16572,2473,2251,57965,79260
Farrer,15220,2002,2433,59218,78877
Fowler,9218,3537,1716,48557,63027
Gilmore,12400,2710,2006,70221,87328
Grayndler,15048,3111,1593,58224,77981
Greenway,19265,4239,2464,30304,56263
Hughes,16819,3797,2162,34635,57414
Hume,17086,4111,2392,27958,51550
Hunter,17450,2923,2661,45370,68407
Kingsford Smith,11906,3635,1931,64647,82120
Lindsay,16598,3858,2220,43398,66081
Lyne,12411,2555,2161,59227,76350
Macarthur,15487,4726,2306,34083,56601
Mackellar,16007,3956,2485,46605,69050
Macquarie,17521,3464,2332,42665,65983
McMahon,13490,4086,2210,43140,62927
Mitchell,18045,4771,2650,36021,61492
New England,14937,2140,2366,62605,82056
Newcastle,16267,2339,2097,52897,73601
Page,14450,2752,2388,59118,78712
Parkes,14559,1718,2756,67554,86592
Parramatta,14460,4814,2163,63913,85345
Paterson,15655,2529,2351,48927,69468
Reid,13776,5251,2134,66113,87272
Richmond,12753,3348,2402,58710,77224
Riverina,16163,2054,2612,57596,78429
Robertson,14491,2883,2030,50593,69997
Shortland,16334,2639,2224,46170,67381
Sydney,14306,3904,1631,98588,118420
Warringah,14421,3455,1996,67146,87017
Watson,9445,4651,1936,51377,67412
Wentworth,11814,3594,2022,75793,93217
Werriwa,13089,4802,2222,30986,51093
Whitlam,16345,3466,2360,45245,67422
Migratory - Offshore - Shipping (NSW),0,0,0,34,34
Aston,19247,4168,2514,41762,67691
Ballarat,16324,2246,2144,47973,68685
Bendigo,17049,2314,2307,48732,70403
Bruce,18395,4675,2940,43628,69638
Calwell,17072,5824,2809,32563,58272
Casey,21026,3898,3041,35959,63922
Chisholm,14011,4454,2375,57253,78094
Cooper,15025,2712,1734,55255,74731
Corangamite,15263,2273,2051,45595,65183
Corio,16991,2423,2182,51133,72729
Deakin,19298,4041,2483,48255,74090
Dunkley,20195,3705,2760,45310,71970
Flinders,15891,3253,2524,70365,92033
Fraser,15983,3589,1989,59025,80597
Gellibrand,20912,4377,2824,45221,73326
Gippsland,14878,2011,2428,57446,76762
Goldstein,16073,3543,2427,51797,73839
Gorton,18231,4562,2895,33901,59588
Hawke,19992,3941,2856,35579,62376
Holt,20361,5428,3074,28965,57823
Hotham,15503,3828,2164,59800,81295
Indi,15145,2410,2418,56345,76326
Isaacs,17123,3983,2393,45820,69327
Jagajaga,17502,3006,2254,44514,67277
Kooyong,12469,3878,2349,62208,80906
La Trobe,20295,4512,2747,28452,56015
Lalor,19384,4258,2645,37553,63840
Macnamara,14095,3203,1882,83488,102664
Mallee,14790,1724,2327,62421,81259
Maribyrnong,15910,2960,2054,54684,75608
McEwen,20274,3930,2938,28656,55807
Melbourne,12712,2951,1371,116638,133674
Menzies,14229,5006,2381,57732,79355
Monash,14370,2492,2335,60035,79233
Nicholls,15585,2399,2485,53446,73918
Scullin,15806,4430,2416,39141,61792
Wannon,14976,2220,2370,61949,81512
Wills,15349,2652,1733,59484,79222
Migratory - Offshore - Shipping (Vic.),0,0,0,49,49
Blair,19388,2493,2807,50500,75192
Bonner,17771,2711,2179,40890,63544
Bowman,18100,2773,2569,41782,65216
Brisbane,15807,2216,1848,73701,93570
Capricornia,14140,1635,3574,52210,71555
Dawson,14414,1862,3583,52629,72496
Dickson,20061,2394,2562,34446,59459
Fadden,17872,3806,2907,54599,79181
Fairfax,16229,3158,3009,50667,73072
Fisher,15738,2889,3005,53991,75629
Flynn,13418,1774,3132,57562,75894
Forde,19318,3304,2982,46253,71861
Griffith,17339,2084,1941,61195,82567
Groom,15325,1775,2378,48577,68053
Herbert,15959,1832,2944,50261,71002
Hinkler,12372,1856,2322,56945,73491
Kennedy,12620,1923,2835,65180,82562
Leichhardt,14572,2293,2561,60319,79754
Lilley,17686,2067,2000,47842,69591
Longman,18047,2902,3046,50119,74112
Maranoa,10895,1652,2481,60822,75847
McPherson,15959,3369,2713,48256,70304
Moncrieff,14784,3622,2491,72185,93089
Moreton,15007,2587,2018,45841,65451
Oxley,18781,2930,2346,42330,66379
Petrie,18542,2765,2535,51968,75814
Rankin,17157,3423,2411,43597,66581
Ryan,16870,2075,2038,43184,64174
Wide Bay,12629,2667,2672,55463,73432
Wright,20249,3768,3889,38718,66628
Migratory - Offshore - Shipping (Qld),0,0,0,98,98
Adelaide,17789,3028,2165,67286,90266
Barker,17474,2206,2716,63629,86026
Boothby,19000,2679,2446,54669,78796
Grey,14870,2014,3028,76567,96477
Hindmarsh,18412,2990,2370,54239,78009
Kingston,22303,3224,2961,41493,69976
Makin,21203,3245,2631,42217,69294
Mayo,20269,3188,3098,56496,83059
Spence,20657,3826,2992,47761,75242
Sturt,18137,3109,2296,57676,81212
Migratory - Offshore - Shipping (SA),0,0,0,11,11
Brand,18997,3286,4484,37079,63848
Bullwinkel,18712,3196,4258,38509,64676
Burt,22146,4690,4316,35749,66902
Canning,15686,2895,4450,45020,68056
Cowan,18298,3975,3335,40386,65985
Curtin,14588,2620,2527,53093,72825
Durack,10888,1775,3038,84101,99803
Forrest,15274,2615,3761,49573,71227
Fremantle,18900,3199,3395,42009,67505
Hasluck,19432,4062,3866,34151,61508
Moore,18929,2762,3702,37718,63112
O'Connor,13948,2142,3226,65707,85022
Pearce,21180,4129,5001,29847,60160
Perth,17275,2747,2342,64283,86645
Swan,16233,3107,2636,62269,84256
Tangney,17407,2990,3198,45109,68708
Migratory - Offshore - Shipping (WA),0,0,0,170,170
Bass,10932,1316,1533,37215,50994
Braddon,10923,1193,1767,38699,52583
Clark,10303,1335,1303,36283,49216
Franklin,12504,1655,1668,32860,48692
Lyons,12018,1807,1898,42088,57815
Migratory - Offshore - Shipping (Tas.),0,0,0,16,16
Lingiari,6543,1027,1479,41413,50464
Solomon,9219,1384,1774,34485,46860
Migratory - Offshore - Shipping (NT),0,0,0,74,74
Bean,20663,2299,2032,37274,62264
Canberra,14589,1550,1359,47767,65264
Fenner,20882,2580,2015,35516,60996
Migratory - Offshore - Shipping (ACT),0,0,0,0,0
Migratory - Offshore - Shipping (OT),0,0,0,0,0
Total,2398902,468817,374734,7632799,10875248