Electorate,Households where rent payments are less than or equal to 30% of household income,Households where rent payments are more than 30% of household income,Unable to be determined,Not applicable,Total
Banks,9732,6331,1594,46776,64427
Barton,15061,9242,2025,52501,78827
Bennelong,17055,9714,1775,54254,82800
Berowra,9688,5292,1094,55492,71568
Blaxland,13434,10838,2749,43443,70460
Bradfield,11056,6430,1303,56143,74935
Calare,10084,5162,1740,58440,75430
Chifley,11528,6380,1888,38707,58498
Cook,8780,5391,1146,49520,64844
Cowper,8241,8677,1823,59074,77817
Cunningham,11992,8161,1999,53413,75565
Dobell,8368,7177,1505,51186,68233
Eden-Monaro,9182,4774,1417,63883,79260
Farrer,10970,4911,1847,61150,78877
Fowler,10680,10392,1858,40090,63027
Gilmore,7282,6092,1360,72593,87328
Grayndler,18007,9347,2034,48592,77981
Greenway,9583,4548,1109,41021,56263
Hughes,7049,4080,1037,45250,57414
Hume,5755,3459,914,41424,51550
Hunter,7789,5517,1376,53719,68407
Kingsford Smith,18746,11360,2671,49347,82120
Lindsay,12404,7620,1643,44405,66081
Lyne,5738,5648,1303,63663,76350
Macarthur,9503,5651,1396,40046,56601
Mackellar,7525,5907,1143,54480,69050
Macquarie,6065,4831,998,54084,65983
McMahon,9851,7741,1545,43784,62927
Mitchell,7741,3707,889,49153,61492
New England,10915,6284,2094,62763,82056
Newcastle,13636,7966,2171,49830,73601
Page,7794,6639,1510,62771,78712
Parkes,11762,4584,2380,67859,86592
Parramatta,22704,10271,2467,49908,85345
Paterson,9192,6607,1631,52033,69468
Reid,19886,11430,2490,53464,87272
Richmond,7188,7850,1752,60432,77224
Riverina,10155,4659,1753,61860,78429
Robertson,8287,6785,1271,53651,69997
Shortland,7483,5513,1295,53086,67381
Sydney,34953,18831,4120,60519,118420
Warringah,19348,9290,1910,56474,87017
Watson,11259,11228,2221,42698,67412
Wentworth,22216,11780,2579,56640,93217
Werriwa,6871,5683,1315,37220,51093
Whitlam,7174,5607,1292,53340,67422
Migratory - Offshore - Shipping (NSW),0,0,0,34,34
Aston,8040,3996,1047,54610,67691
Ballarat,9323,4945,1331,53085,68685
Bendigo,8826,4645,1303,55634,70403
Bruce,9618,5199,1566,53255,69638
Calwell,7301,5259,1333,44376,58272
Casey,4443,2688,783,56011,63922
Chisholm,11545,5589,1581,59380,78094
Cooper,15760,7014,2014,49947,74731
Corangamite,6510,3482,915,54269,65183
Corio,12049,6465,1728,52489,72729
Deakin,9727,5001,1325,58034,74090
Dunkley,9695,6341,1439,54498,71970
Flinders,6201,4615,1189,80029,92033
Fraser,15808,7562,2284,54929,80597
Gellibrand,13086,5238,1677,53325,73326
Gippsland,7580,4179,1374,63627,76762
Goldstein,10251,5297,1242,57053,73839
Gorton,6385,3417,1078,48703,59588
Hawke,7339,4565,1061,49408,62376
Holt,7739,3830,1205,45048,57823
Hotham,15385,7836,2052,56017,81295
Indi,8339,3873,1353,62755,76326
Isaacs,9957,5343,1414,52617,69327
Jagajaga,8724,3928,1177,53443,67277
Kooyong,13898,6173,1532,59301,80906
La Trobe,7114,3502,961,44441,56015
Lalor,10457,5194,1459,46737,63840
Macnamara,26393,11649,2648,61979,102664
Mallee,9447,4257,1811,65735,81259
Maribyrnong,14006,5810,1618,54172,75608
McEwen,5117,2699,738,47248,55807
Melbourne,37916,19936,4029,71794,133674
Menzies,10346,6483,1520,61005,79355
Monash,6155,4114,1127,67839,79233
Nicholls,9038,4358,1577,58944,73918
Scullin,8311,4799,1312,47368,61792
Wannon,7764,3646,1413,68686,81512
Wills,17908,7491,2280,51546,79222
Migratory - Offshore - Shipping (Vic.),0,0,0,49,49
Blair,14270,7670,2125,51125,75192
Bonner,10114,5103,1408,46923,63544
Bowman,7258,4895,1283,51774,65216
Brisbane,26952,12419,2782,51416,93570
Capricornia,10637,3839,2106,54982,71555
Dawson,11076,4755,2213,54456,72496
Dickson,8016,4087,1135,46219,59459
Fadden,12196,10041,2270,54677,79181
Fairfax,8742,6774,1653,55891,73072
Fisher,9100,6866,1741,57924,75629
Flynn,11415,3950,2175,58349,75894
Forde,12776,7777,1997,49312,71861
Griffith,22210,9602,2530,48220,82567
Groom,11895,5941,1767,48450,68053
Herbert,15009,5914,2381,47686,71002
Hinkler,8787,6425,1692,56588,73491
Kennedy,11047,4376,2400,64735,82562
Leichhardt,14221,7257,2992,55281,79754
Lilley,15120,6554,1861,46054,69591
Longman,10792,7916,1874,53536,74112
Maranoa,9891,3927,2170,59864,75847
McPherson,8735,7530,1733,52301,70304
Moncrieff,13270,12817,2466,64531,93089
Moreton,12915,6239,1964,44335,65451
Oxley,13145,6168,1996,45063,66379
Petrie,14127,8172,2152,51366,75814
Rankin,12262,7330,2114,44873,66581
Ryan,11206,5565,1611,45785,64174
Wide Bay,6365,5345,1314,60416,73432
Wright,6168,4243,1288,54924,66628
Migratory - Offshore - Shipping (Qld),0,0,0,98,98
Adelaide,19963,10047,2597,57663,90266
Barker,9913,4248,1673,70195,86026
Boothby,11935,6267,1716,58878,78796
Grey,11663,4265,2359,78202,96477
Hindmarsh,12671,6248,1811,57283,78009
Kingston,8149,4979,1235,55619,69976
Makin,8886,4326,1232,54849,69294
Mayo,6005,4109,1087,71860,83059
Spence,12728,7425,2263,52821,75242
Sturt,12781,6278,1624,60527,81212
Migratory - Offshore - Shipping (SA),0,0,0,11,11
Brand,8132,4802,1844,49071,63848
Bullwinkel,4616,2676,1118,56265,64676
Burt,8069,4789,1651,52389,66902
Canning,6210,4762,1644,55440,68056
Cowan,8877,4948,1706,50451,65985
Curtin,12365,5481,2009,52978,72825
Durack,16613,3814,4233,75142,99803
Forrest,7685,4455,1696,57391,71227
Fremantle,9362,4678,1773,51689,67505
Hasluck,7494,4065,1517,48434,61508
Moore,5575,2755,1096,53680,63112
O'Connor,10305,3804,2272,68639,85022
Pearce,6699,4007,1465,47986,60160
Perth,19424,8292,2630,56305,86645
Swan,18686,7828,3216,54521,84256
Tangney,7822,3453,1403,56027,68708
Migratory - Offshore - Shipping (WA),0,0,0,170,170
Bass,7353,4132,1126,38386,50994
Braddon,6641,3893,1172,40876,52583
Clark,8641,5116,1391,34068,49216
Franklin,5055,3247,781,39614,48692
Lyons,4891,3344,986,48590,57815
Migratory - Offshore - Shipping (Tas.),0,0,0,16,16
Lingiari,10449,1922,2929,35165,50464
Solomon,12498,3584,2508,28272,46860
Migratory - Offshore - Shipping (NT),0,0,0,74,74
Bean,9065,2961,1081,49154,62264
Canberra,14934,4809,1587,43936,65264
Fenner,11973,4169,1408,43439,60996
Migratory - Offshore - Shipping (ACT),0,0,0,0,0
Migratory - Offshore - Shipping (OT),0,0,0,0,0
Total,1667080,915317,259992,8032869,10875248