Electorate,Solar density
Bean,43.3
Canberra,34
Fenner,40.6
Banks,28.7
Barton,24
Bennelong,28.1
Berowra,38.1
Blaxland,27.3
Bradfield,31.1
Calare,40.4
Chifley,44.3
Cook,27.3
Cowper,51.2
Cunningham,33.6
Dobell,37.6
Eden-Monaro,41.3
Farrer,46.4
Fowler,36.4
Gilmore,39
Grayndler,22.1
Greenway,50.7
Hughes,39.2
Hume,45.3
Hunter,44.4
Kingsford Smith,26
Lindsay,38.1
Lyne,50.8
Macarthur,45.3
Mackellar,31.6
Macquarie,40.1
McMahon,37.1
Mitchell,46.1
New England,40.2
Newcastle,32
Page,56.2
Parkes,59.7
Parramatta,29.7
Paterson,45
Reid,25.7
Richmond,63.8
Riverina,44.1
Robertson,33.2
Shortland,39
Sydney,13.8
Warringah,27.8
Watson,25.2
Wentworth,18.5
Werriwa,41.5
Whitlam,41.5
Lingiari,24.6
Solomon,39.5
Blair,59.4
Bonner,55.4
Bowman,65.6
Brisbane,45.6
Capricornia,45.6
Dawson,52.1
Dickson,62.4
Fadden,56.5
Fairfax,63
Fisher,71.3
Flynn,48.3
Forde,58.4
Griffith,46.8
Groom,43
Herbert,57.1
Hinkler,65.2
Kennedy,41.8
Leichhardt,45.5
Lilley,48.4
Longman,66.6
Maranoa,46.1
McPherson,57.5
Moncrieff,54.5
Moreton,55.1
Oxley,56.5
Petrie,53
Rankin,57.1
Ryan,58
Wide Bay,64.5
Wright,71.8
Adelaide,48.9
Barker,51.5
Boothby,52.7
Grey,51.8
Hindmarsh,51.7
Kingston,60
Makin,61.5
Mayo,63.5
Spence,57.9
Sturt,54
Bass,24.6
Braddon,20.6
Clark,21.4
Franklin,26.4
Lyons,24
Aston,32.9
Ballarat,31.2
Bendigo,39.5
Bruce,37.6
Calwell,36.6
Casey,32.2
Chisholm,27.4
Cooper,22.1
Corangamite,30.7
Corio,28.4
Deakin,26.5
Dunkley,29.4
Flinders,28.2
Fraser,23
Gellibrand,33.1
Gippsland,36.7
Goldstein,22.1
Gorton,42.6
Hawke,36.5
Holt,44.4
Hotham,23.4
Indi,44.6
Isaacs,30
Jagajaga,25.2
Kooyong,19.6
La Trobe,38.4
Lalor,44.1
Macnamara,15.8
Mallee,38.9
Maribyrnong,19.5
McEwen,38.8
Melbourne,13.8
Menzies,24.1
Monash,35.2
Nicholls,44.1
Scullin,32
Wannon,28.1
Wills,18.8
Brand,62.7
Bullwinkel,56.2
Burt,59.5
Canning,60.9
Cowan,46.9
Curtin,39.1
Durack,27.3
Forrest,47.4
Fremantle,51.4
Hasluck,57.7
Moore,57.7
O'Connor,30.5
Pearce,64.2
Perth,34.4
Swan,37.3
Tangney,56.3