Electorate,qotd_financial_difficulty|Strongly agree,qotd_financial_difficulty|Somewhat agree,qotd_financial_difficulty|Neutral,qotd_financial_difficulty|Somewhat disagree,qotd_financial_difficulty|Strongly disagree,qotd_financial_difficulty|Don't know,,,,,,,,,,,,,,,,,,,,,,
Banks,20,25,25,15,14,1,,,,,,,,,,,,,,,,,,,,,,
Barton,16,24,24,18,16,1,,,,,,,,,,,,,,,,,,,,,,
Bennelong,15,23,25,20,15,1,,,,,,,,,,,,,,,,,,,,,,
Berowra,17,23,26,17,16,1,,,,,,,,,,,,,,,,,,,,,,
Blaxland,32,28,17,16,6,1,,,,,,,,,,,,,,,,,,,,,,
Bradfield,13,22,24,20,19,1,,,,,,,,,,,,,,,,,,,,,,
Calare,25,26,23,14,11,1,,,,,,,,,,,,,,,,,,,,,,
Chifley,29,31,19,13,7,1,,,,,,,,,,,,,,,,,,,,,,
Cook,20,26,24,17,12,1,,,,,,,,,,,,,,,,,,,,,,
Cowper,24,22,26,16,11,0,,,,,,,,,,,,,,,,,,,,,,
Cunningham,23,25,25,15,11,1,,,,,,,,,,,,,,,,,,,,,,
Dobell,28,28,23,13,8,1,,,,,,,,,,,,,,,,,,,,,,
Eden-Monaro,20,25,28,16,11,1,,,,,,,,,,,,,,,,,,,,,,
Farrer,19,32,27,13,9,1,,,,,,,,,,,,,,,,,,,,,,
Fowler,33,30,17,11,8,0,,,,,,,,,,,,,,,,,,,,,,
Gilmore,20,23,26,16,14,1,,,,,,,,,,,,,,,,,,,,,,
Grayndler,16,25,21,19,16,2,,,,,,,,,,,,,,,,,,,,,,
Greenway,24,29,22,15,9,2,,,,,,,,,,,,,,,,,,,,,,
Hughes,19,27,28,15,10,1,,,,,,,,,,,,,,,,,,,,,,
Hume,25,29,23,12,9,1,,,,,,,,,,,,,,,,,,,,,,
Hunter,29,27,21,13,10,1,,,,,,,,,,,,,,,,,,,,,,
Kingsford Smith,18,27,21,17,15,1,,,,,,,,,,,,,,,,,,,,,,
Lindsay,29,29,22,12,7,1,,,,,,,,,,,,,,,,,,,,,,
Lyne,23,27,28,13,9,1,,,,,,,,,,,,,,,,,,,,,,
Macarthur,30,27,21,14,8,1,,,,,,,,,,,,,,,,,,,,,,
Mackellar,16,25,26,17,15,1,,,,,,,,,,,,,,,,,,,,,,
Macquarie,20,28,23,18,11,1,,,,,,,,,,,,,,,,,,,,,,
McMahon,27,26,23,13,10,1,,,,,,,,,,,,,,,,,,,,,,
Mitchell,17,26,25,17,14,1,,,,,,,,,,,,,,,,,,,,,,
New England,26,28,24,14,8,1,,,,,,,,,,,,,,,,,,,,,,
Newcastle,23,26,21,16,12,1,,,,,,,,,,,,,,,,,,,,,,
Page,23,28,26,14,8,1,,,,,,,,,,,,,,,,,,,,,,
Parkes,23,30,24,15,9,0,,,,,,,,,,,,,,,,,,,,,,
Parramatta,23,25,24,15,11,1,,,,,,,,,,,,,,,,,,,,,,
Paterson,25,27,24,14,9,1,,,,,,,,,,,,,,,,,,,,,,
Reid,15,27,22,19,14,2,,,,,,,,,,,,,,,,,,,,,,
Richmond,21,27,26,15,9,1,,,,,,,,,,,,,,,,,,,,,,
Riverina,21,29,23,16,10,1,,,,,,,,,,,,,,,,,,,,,,
Robertson,22,26,23,15,12,1,,,,,,,,,,,,,,,,,,,,,,
Shortland,19,26,23,19,12,1,,,,,,,,,,,,,,,,,,,,,,
Sydney,17,24,22,18,18,1,,,,,,,,,,,,,,,,,,,,,,
Warringah,14,23,25,19,18,1,,,,,,,,,,,,,,,,,,,,,,
Watson,24,26,24,14,9,4,,,,,,,,,,,,,,,,,,,,,,
Wentworth,12,25,25,18,18,1,,,,,,,,,,,,,,,,,,,,,,
Werriwa,31,24,24,10,9,2,,,,,,,,,,,,,,,,,,,,,,
Whitlam,23,26,24,14,12,1,,,,,,,,,,,,,,,,,,,,,,
Aston,22,31,21,15,11,1,,,,,,,,,,,,,,,,,,,,,,
Ballarat,22,25,25,16,11,1,,,,,,,,,,,,,,,,,,,,,,
Bendigo,22,27,25,16,10,1,,,,,,,,,,,,,,,,,,,,,,
Bruce,26,29,24,13,7,1,,,,,,,,,,,,,,,,,,,,,,
Calwell,31,29,18,12,7,1,,,,,,,,,,,,,,,,,,,,,,
Casey,22,30,23,16,9,1,,,,,,,,,,,,,,,,,,,,,,
Chisholm,14,24,25,18,17,1,,,,,,,,,,,,,,,,,,,,,,
Cooper,19,25,21,18,15,2,,,,,,,,,,,,,,,,,,,,,,
Corangamite,18,27,25,18,11,0,,,,,,,,,,,,,,,,,,,,,,
Corio,21,28,23,16,11,1,,,,,,,,,,,,,,,,,,,,,,
Deakin,18,26,25,17,13,1,,,,,,,,,,,,,,,,,,,,,,
Dunkley,24,29,22,14,9,1,,,,,,,,,,,,,,,,,,,,,,
Flinders,18,28,25,17,11,1,,,,,,,,,,,,,,,,,,,,,,
Fraser,20,24,25,18,12,1,,,,,,,,,,,,,,,,,,,,,,
Gellibrand,20,26,23,18,12,1,,,,,,,,,,,,,,,,,,,,,,
Gippsland,23,25,24,18,10,1,,,,,,,,,,,,,,,,,,,,,,
Goldstein,14,24,26,19,16,1,,,,,,,,,,,,,,,,,,,,,,
Gorton,28,28,22,13,7,1,,,,,,,,,,,,,,,,,,,,,,
Hawke,25,30,20,15,8,1,,,,,,,,,,,,,,,,,,,,,,
Holt,29,31,20,10,9,0,,,,,,,,,,,,,,,,,,,,,,
Hotham,20,26,22,18,12,1,,,,,,,,,,,,,,,,,,,,,,
Indi,21,26,26,14,12,1,,,,,,,,,,,,,,,,,,,,,,
Isaacs,18,28,22,19,12,1,,,,,,,,,,,,,,,,,,,,,,
Jagajaga,17,24,23,19,15,1,,,,,,,,,,,,,,,,,,,,,,
Kooyong,11,23,24,20,20,2,,,,,,,,,,,,,,,,,,,,,,
La Trobe,24,33,21,15,6,1,,,,,,,,,,,,,,,,,,,,,,
Lalor,27,29,22,11,9,1,,,,,,,,,,,,,,,,,,,,,,
Macnamara,16,25,24,18,17,1,,,,,,,,,,,,,,,,,,,,,,
Mallee,22,27,24,17,10,1,,,,,,,,,,,,,,,,,,,,,,
Maribyrnong,19,28,22,17,14,1,,,,,,,,,,,,,,,,,,,,,,
McEwen,22,29,22,15,11,1,,,,,,,,,,,,,,,,,,,,,,
Melbourne,19,25,21,18,15,1,,,,,,,,,,,,,,,,,,,,,,
Menzies,17,23,26,18,15,1,,,,,,,,,,,,,,,,,,,,,,
Monash,22,25,28,14,10,0,,,,,,,,,,,,,,,,,,,,,,
Nicholls,23,26,24,15,11,1,,,,,,,,,,,,,,,,,,,,,,
Scullin,32,27,21,11,8,1,,,,,,,,,,,,,,,,,,,,,,
Wannon,18,27,28,15,12,0,,,,,,,,,,,,,,,,,,,,,,
Wills,19,25,21,19,15,1,,,,,,,,,,,,,,,,,,,,,,
Blair,27,26,22,14,10,1,,,,,,,,,,,,,,,,,,,,,,
Bonner,18,25,27,17,11,1,,,,,,,,,,,,,,,,,,,,,,
Bowman,20,28,27,16,9,1,,,,,,,,,,,,,,,,,,,,,,
Brisbane,16,25,24,20,14,1,,,,,,,,,,,,,,,,,,,,,,
Capricornia,27,24,24,15,10,0,,,,,,,,,,,,,,,,,,,,,,
Dawson,25,25,25,16,7,1,,,,,,,,,,,,,,,,,,,,,,
Dickson,21,26,25,16,11,1,,,,,,,,,,,,,,,,,,,,,,
Fadden,23,29,24,13,11,0,,,,,,,,,,,,,,,,,,,,,,
Fairfax,21,27,26,16,11,1,,,,,,,,,,,,,,,,,,,,,,
Fisher,22,26,27,15,11,0,,,,,,,,,,,,,,,,,,,,,,
Flynn,24,27,24,13,10,2,,,,,,,,,,,,,,,,,,,,,,
Forde,27,28,23,15,6,0,,,,,,,,,,,,,,,,,,,,,,
Griffith,16,25,24,20,14,1,,,,,,,,,,,,,,,,,,,,,,
Groom,21,28,25,15,11,0,,,,,,,,,,,,,,,,,,,,,,
Herbert,22,30,23,14,11,0,,,,,,,,,,,,,,,,,,,,,,
Hinkler,26,24,29,13,8,0,,,,,,,,,,,,,,,,,,,,,,
Kennedy,24,29,23,15,8,1,,,,,,,,,,,,,,,,,,,,,,
Leichhardt,21,27,25,16,11,1,,,,,,,,,,,,,,,,,,,,,,
Lilley,17,25,24,20,13,1,,,,,,,,,,,,,,,,,,,,,,
Longman,27,27,23,16,7,0,,,,,,,,,,,,,,,,,,,,,,
Maranoa,22,26,25,15,12,0,,,,,,,,,,,,,,,,,,,,,,
McPherson,23,28,23,14,12,0,,,,,,,,,,,,,,,,,,,,,,
Moncrieff,20,31,24,12,12,1,,,,,,,,,,,,,,,,,,,,,,
Moreton,16,25,25,18,15,1,,,,,,,,,,,,,,,,,,,,,,
Oxley,22,27,24,17,9,0,,,,,,,,,,,,,,,,,,,,,,
Petrie,23,27,23,16,11,1,,,,,,,,,,,,,,,,,,,,,,
Rankin,26,25,22,15,10,1,,,,,,,,,,,,,,,,,,,,,,
Ryan,14,25,24,19,17,1,,,,,,,,,,,,,,,,,,,,,,
Wide Bay,24,25,26,14,10,2,,,,,,,,,,,,,,,,,,,,,,
Wright,23,28,26,14,8,1,,,,,,,,,,,,,,,,,,,,,,
Adelaide,19,23,24,18,15,1,,,,,,,,,,,,,,,,,,,,,,
Barker,25,27,27,11,9,0,,,,,,,,,,,,,,,,,,,,,,
Boothby,16,25,25,18,14,1,,,,,,,,,,,,,,,,,,,,,,
Grey,25,27,25,12,10,0,,,,,,,,,,,,,,,,,,,,,,
Hindmarsh,20,27,24,17,11,1,,,,,,,,,,,,,,,,,,,,,,
Kingston,23,28,23,15,11,0,,,,,,,,,,,,,,,,,,,,,,
Makin,20,27,26,17,10,1,,,,,,,,,,,,,,,,,,,,,,
Mayo,19,26,27,16,11,1,,,,,,,,,,,,,,,,,,,,,,
Spence,32,28,20,11,8,0,,,,,,,,,,,,,,,,,,,,,,
Sturt,16,23,24,20,15,2,,,,,,,,,,,,,,,,,,,,,,
Brand,24,26,24,16,10,1,,,,,,,,,,,,,,,,,,,,,,
Bullwinkel,16,25,27,19,11,1,,,,,,,,,,,,,,,,,,,,,,
Burt,24,27,23,16,8,1,,,,,,,,,,,,,,,,,,,,,,
Canning,22,24,25,16,12,2,,,,,,,,,,,,,,,,,,,,,,
Cowan,19,27,25,17,11,1,,,,,,,,,,,,,,,,,,,,,,
Curtin,12,19,25,21,22,2,,,,,,,,,,,,,,,,,,,,,,
Durack,21,27,24,15,11,1,,,,,,,,,,,,,,,,,,,,,,
Forrest,17,26,28,16,11,1,,,,,,,,,,,,,,,,,,,,,,
Fremantle,18,24,25,19,13,1,,,,,,,,,,,,,,,,,,,,,,
Hasluck,20,25,25,18,12,1,,,,,,,,,,,,,,,,,,,,,,
Moore,14,24,26,21,14,1,,,,,,,,,,,,,,,,,,,,,,
O'Connor,20,25,26,17,12,0,,,,,,,,,,,,,,,,,,,,,,
Pearce,22,28,22,17,10,1,,,,,,,,,,,,,,,,,,,,,,
Perth,16,23,23,19,18,1,,,,,,,,,,,,,,,,,,,,,,
Swan,18,23,22,18,18,1,,,,,,,,,,,,,,,,,,,,,,
Tangney,13,22,26,21,17,1,,,,,,,,,,,,,,,,,,,,,,
Bass,18,28,25,16,11,2,,,,,,,,,,,,,,,,,,,,,,
Braddon,19,22,28,18,12,1,,,,,,,,,,,,,,,,,,,,,,
Clark,18,24,24,20,14,1,,,,,,,,,,,,,,,,,,,,,,
Franklin,17,24,27,18,14,0,,,,,,,,,,,,,,,,,,,,,,
Lyons,23,24,27,16,10,1,,,,,,,,,,,,,,,,,,,,,,
Lingiari,25,24,24,17,10,0,,,,,,,,,,,,,,,,,,,,,,
Solomon,20,23,24,17,15,0,,,,,,,,,,,,,,,,,,,,,,
Bean,13,25,24,21,16,1,,,,,,,,,,,,,,,,,,,,,,
Canberra,11,22,21,23,22,1,,,,,,,,,,,,,,,,,,,,,,
Fenner,15,26,23,20,15,1,,,,,,,,,,,,,,,,,,,,,,