Electorate,Average of % Mortgage Stress,Average of % Rental Stress,Total
Adelaide,49,52,100
Aston,52,61,100
Ballarat,58,32,100
Barker,34,18,100
Barton,5,53,100
Bass,67,51,100
Bendigo,51,34,100
Bennelong,13,69,100
Berowra,29,53,100
Blair,58,59,100
Blaxland,33,63,100
Boothby,43,51,100
Bowman,46,70,100
Braddon,52,21,100
Bradfield,39,46,100
Brand,60,50,100
Burt,37,55,100
Calare,61,48,100
Calwell,57,53,100
Canberra,35,46,100
Canning,54,27,100
Capricornia,27,10,100
Casey,44,54,100
Chifley,70,74,100
Chisholm,40,53,100
Clark,54,39,100
Cook,28,74,100
Cooper,65,27,100
Corangamite,39,43,100
Cowan,62,43,100
Cowper,22,71,100
Cunningham,42,56,100
Curtin,42,34,100
Dawson,37,16,100
Deakin,30,73,100
Dunkley,45,45,100
Durack,25,15,100
Eden-Monaro,40,34,100
Fadden,29,44,100
Farrer,42,38,100
Flinders,21,50,100
Flynn,26,30,100
Forrest,49,36,100
Fowler,42,74,100
Franklin,71,56,100
Fraser,20,58,100
Fremantle,34,32,100
Gellibrand,29,46,100
Gilmore,23,61,100
Gippsland,54,32,100
Goldstein,42,28,100
Gorton,49,54,100
Grey,35,30,100
Groom,69,41,100
Hasluck,27,51,100
Hawke,78,33,100
Higgins,29,18,100
Hindmarsh,34,43,100
Hinkler,17,41,100
Hotham,39,60,100
Hume,65,43,100
Hunter,78,46,100
Indi,61,38,100
Isaacs,37,53,100
Jagajaga,63,34,100
Kennedy,43,28,100
Kingsford Smith,34,67,100
Kingston,46,12,100
Kooyong,39,44,100
La Trobe,55,59,100
Lalor,29,64,100
Leichhardt,31,23,100
Lindsay,34,50,100
Lingiari,39,12,100
Longman,40,48,100
Lyne,33,55,100
Lyons,56,39,100
Macarthur,81,77,100
Macnamara,35,34,100
Macquarie,38,30,100
Makin,60,39,100
Mallee,51,27,100
Maranoa,31,25,100
Maribyrnong,51,36,100
Mayo,36,29,100
McEwen,69,56,100
Melbourne,29,53,100
Menzies,27,37,100
Mitchell,42,56,100
Monash,52,35,100
Moore,35,51,100
Moreton,42,45,100
New England,57,55,100
Newcastle,59,22,100
Nicholls,35,32,100
North Sydney,31,64,100
O'Connor,37,24,100
Page,20,64,100
Parkes,38,29,100
Paterson,64,37,100
Pearce,75,34,100
Perth,31,43,100
Reid,31,61,100
Richmond,39,40,100
Riverina,53,39,100
Robertson,33,65,100
Shortland,43,36,100
Solomon,26,11,100
Spence,64,23,100
Sturt,53,48,100
Swan,39,39,100
Sydney,18,62,100
Tangney,37,37,100
Wannon,20,30,100
Warringah,29,53,100
Watson,21,64,100
Wentworth,47,52,100
Werriwa,83,56,100
Whitlam,52,30,100
Wide Bay,30,38,100
Wills,56,46,100
Wright,53,56,100