Electorate,Non-Indigenous,Aboriginal,Torres Strait Islander,Both Aboriginal and Torres Strait Islander,Not stated,Total
Banks,155349,1550,38,28,5935,162893
Barton,172271,1268,40,46,8012,181643
Bennelong,184537,834,39,26,5773,191219
Berowra,148560,973,25,18,2999,152571
Blaxland,174538,963,46,33,13020,188607
Bradfield,165047,399,27,17,3687,169182
Calare,145529,12786,209,265,10441,169232
Chifley,181492,8090,155,187,12146,202063
Cook,142240,1816,43,39,5308,149450
Cowper,148032,11751,168,266,9985,170205
Cunningham,151298,4207,101,69,6004,161676
Dobell,145894,9107,191,157,7380,162722
Eden-Monaro,146021,6058,115,100,9239,161530
Farrer,152004,8168,140,169,12629,173116
Fowler,162044,1405,50,32,9987,173523
Gilmore,144884,9203,168,163,9326,163743
Grayndler,142927,1684,50,63,6010,150729
Greenway,190781,3149,61,81,7470,201542
Hughes,144236,2210,51,56,3747,150300
Hume,157617,6912,138,97,7325,172094
Hunter,152860,13461,254,311,7529,174420
Kingsford Smith,169999,3231,58,103,8545,181933
Lindsay,168081,9570,168,147,9889,187851
Lyne,138115,10202,188,172,8670,157347
Macarthur,188710,7600,127,113,8946,205501
Mackellar,149646,1057,29,36,4625,155387
Macquarie,134755,5222,71,65,5217,145330
McMahon,163790,2235,66,45,9515,175649
Mitchell,183239,1086,19,33,3842,188212
New England,129976,15784,226,400,12263,158649
Newcastle,152190,6783,129,116,6942,166162
North Sydney,160986,565,26,16,5614,167209
Page,146393,10622,238,338,11187,168784
Parkes,112226,24717,190,441,17399,154967
Parramatta,190025,1495,67,37,11656,203278
Paterson,155077,12965,255,308,6970,175578
Reid,192539,1158,59,30,8023,201820
Richmond,149877,5489,318,456,11295,167436
Riverina,139438,11723,160,194,9839,161349
Robertson,140206,5155,85,77,6450,151973
Shortland,138401,7777,130,131,5479,151922
Sydney,188256,2806,87,77,12990,204215
Warringah,145744,681,34,22,4337,150819
Watson,171567,951,45,37,10556,183154
Wentworth,138505,561,38,21,6976,146102
Werriwa,185847,3522,65,72,9672,199172
Whitlam,154377,6935,118,107,7005,168545
No usual address (NSW),8364,1175,20,35,1771,11371
Migratory - Offshore - Shipping (NSW),0,0,0,0,0,0
Aston,153805,974,29,22,4280,159103
Ballarat,142165,2488,94,60,7441,152243
Bendigo,141242,2943,101,64,8204,152555
Bruce,169639,944,39,21,8491,179139
Calwell,178208,1191,55,25,9004,188482
Casey,150361,1606,70,38,5365,157444
Chisholm,177101,438,16,22,6087,183655
Cooper,148843,1401,47,46,5940,156279
Corangamite,145299,1402,34,40,5982,152752
Corio,149842,2262,78,60,7004,159242
Deakin,161940,836,26,25,4275,167110
Dunkley,149097,1765,74,48,7023,158012
Flinders,140950,1508,76,46,7769,150355
Fraser,165374,938,28,23,10017,176388
Gellibrand,180951,1150,47,44,7801,189984
Gippsland,139922,3663,98,57,10613,154357
Goldstein,149663,373,8,0,4682,154736
Gorton,170209,1015,23,29,6821,178100
Hawke,154802,2303,65,77,8135,165389
Higgins,148677,474,23,13,5878,155062
Holt,177873,1398,51,43,7894,187255
Hotham,187846,562,38,16,7133,195590
Indi,143530,3130,108,89,9762,156620
Isaacs,155079,668,47,19,4714,160526
Jagajaga,153500,981,30,30,4322,158869
Kooyong,158398,395,24,9,4536,163354
La Trobe,161199,1276,53,28,6910,169469
Lalor,189110,1897,31,37,10249,201323
Macnamara,158069,694,26,26,9262,168080
Mallee,150160,4987,152,153,12183,167639
Maribyrnong,147306,658,40,33,5376,153408
McEwen,151556,1836,66,38,6390,159894
Melbourne,186271,1030,36,34,12599,199964
Menzies,167724,451,17,9,4651,172855
Monash,135522,1861,84,51,8832,146349
Nicholls,143793,4789,128,143,10655,159507
Scullin,162491,1425,41,46,6390,170399
Wannon,142350,2769,62,59,9317,154555
Wills,151242,930,25,44,6075,158319
No usual address (Vic.),7052,448,9,4,1580,9089
Migratory - Offshore - Shipping (Vic.),13,0,0,0,27,38
Blair,169312,9798,388,496,9948,189948
Bonner,154766,2856,208,236,4822,162883
Bowman,149563,4201,201,250,5005,159222
Brisbane,172461,2249,204,139,8198,183255
Capricornia,134202,8600,822,901,15271,159792
Dawson,137847,7671,1510,1683,13365,162083
Dickson,150450,3926,230,236,4734,159571
Fadden,179787,4265,166,203,10196,194617
Fairfax,157763,3644,176,197,7687,169466
Fisher,159654,3979,174,159,8223,172185
Flynn,134112,9743,334,793,13692,158677
Forde,175023,6513,346,385,11081,193345
Griffith,166971,2395,163,155,7902,177589
Groom,145263,7594,238,251,7525,160864
Herbert,136357,11577,1887,2423,11804,164046
Hinkler,140168,7106,319,431,8537,156565
Kennedy,130038,20645,1951,2707,16063,171402
Leichhardt,131741,12935,9157,6611,15178,175620
Lilley,152054,3534,259,296,5408,161558
Longman,168556,8319,316,464,8937,186589
Maranoa,126544,10687,270,369,13555,151422
McPherson,152775,3045,170,126,7491,163608
Moncrieff,165920,3130,166,154,12771,182143
Moreton,160007,2323,179,200,5770,168476
Oxley,172162,5946,391,430,7580,186519
Petrie,171773,5720,321,398,7073,185285
Rankin,169965,5527,433,533,10394,186856
Ryan,157593,1648,170,116,4272,163797
Wide Bay,136171,6257,289,357,9153,152236
Wright,165066,6546,263,351,9446,181665
No usual address (Qld),10917,1025,72,84,2567,14670
Migratory - Offshore - Shipping (Qld),52,0,0,0,133,183
Adelaide,187912,2584,85,75,6962,197621
Barker,156724,4862,101,105,9894,171687
Boothby,169252,1668,45,52,4609,175626
Grey,147415,12258,186,203,11424,171485
Hindmarsh,163811,3164,98,108,5355,172532
Kingston,157658,2930,94,86,5345,166105
Makin,166151,2915,77,56,4565,173757
Mayo,164296,2091,75,46,7225,173735
Spence,172710,6329,178,174,8832,188227
Sturt,180945,1419,60,54,4869,187354
No usual address (SA),2433,376,0,6,557,3377
Migratory - Offshore - Shipping (SA),6,0,0,0,5,12
Brand,166711,5304,124,187,9215,181547
Burt,168397,5276,88,106,8459,182330
Canning,147641,4192,100,90,7921,159946
Cowan,168816,3681,78,108,7497,180177
Curtin,165208,1234,33,20,6545,173040
Durack,145331,29513,432,749,25417,201445
Forrest,144959,4185,57,94,8703,157999
Fremantle,156887,2871,46,66,6901,166782
Hasluck,162015,5522,126,125,6959,174739
Moore,158248,1234,56,35,4536,164113
O'Connor,149819,9708,156,153,16233,176071
Pearce,167800,2877,110,82,6642,177513
Perth,170369,2099,66,74,9322,181928
Swan,176330,3953,92,94,9400,189872
Tangney,177061,1879,36,56,4927,183959
No usual address (WA),5333,1464,11,19,1228,8055
Migratory - Offshore - Shipping (WA),293,9,0,0,218,514
Bass,100558,3998,185,176,5064,109977
Braddon,94525,8694,323,349,5668,109556
Clark,103639,3423,142,151,4384,111750
Franklin,101684,5511,188,236,4214,111833
Lyons,100101,5964,375,313,6302,113067
No usual address (Tas.),1004,143,0,5,222,1377
Migratory - Offshore - Shipping (Tas.),11,0,0,0,3,19
Lingiari,62456,47779,308,653,9807,121004
Solomon,90527,9534,372,1190,8663,110288
No usual address (NT),1616,1247,18,7,607,3500
Migratory - Offshore - Shipping (NT),63,8,0,0,24,99
Bean,144079,3550,112,136,4729,152610
Canberra,136552,1911,53,91,6911,145507
Fenner,150422,3127,62,77,4574,158267
No usual address (ACT),462,41,0,0,100,605
Migratory - Offshore - Shipping (ACT),0,0,0,0,0,0
No usual address (OT),6,0,4,0,3,11
Migratory - Offshore - Shipping (OT),0,0,0,0,0,0
Total,23375949,742882,33765,36083,1234112,25422788