Electorate,Voters naming Climate Change as the Most Important Issue,Total
Adelaide,32.2137549,100
Aston,24.6179392,100
Ballarat,30.2340201,100
Banks,26.077016,100
Barker,18.9152344,100
Barton,31.5452746,100
Bass,25.5681101,100
Bean,31.2447575,100
Bendigo,29.0948025,100
Bennelong,29.6721159,100
Berowra,29.1852371,100
Blair,19.5673111,100
Blaxland,28.945798,100
Bonner,22.5714219,100
Boothby,28.8299934,100
Bowman,21.1767585,100
Braddon,16.1226623,100
Bradfield,34.1823486,100
Brand,21.3530738,100
Brisbane,28.7148123,100
Bruce,25.0561212,100
Burt,24.8559687,100
Calare,25.483951,100
Calwell,23.2520259,100
Canberra,38.205011,100
Canning,19.6406386,100
Capricornia,13.1964051,100
Casey,27.5854688,100
Chifley,18.8932734,100
Chisholm,31.1059734,100
Clark,37.234438,100
Cook,26.0349658,100
Cooper,41.6525687,100
Corangamite,29.8679465,100
Corio,31.3743886,100
Cowan,24.6255492,100
Cowper,27.4597746,100
Cunningham,32.7995751,100
Curtin,34.2970412,100
Dawson,13.8545776,100
Deakin,30.5732181,100
Dickson,23.6261842,100
Dobell,25.7674394,100
Dunkley,27.5332823,100
Durack,22.3894425,100
Eden-Monaro,30.9931875,100
Fadden,21.9582838,100
Fairfax,26.5248225,100
Farrer,22.9444371,100
Fenner,30.741585,100
Fisher,26.2206969,100
Flinders,32.424116,100
Flynn,11.6714719,100
Forde,17.6878759,100
Forrest,26.8073995,100
Fowler,15.7754616,100
Franklin,29.3487068,100
Fraser,35.3845411,100
Fremantle,33.0924728,100
Gellibrand,32.7305521,100
Gilmore,30.1563478,100
Gippsland,20.2781978,100
Goldstein,37.3987804,100
Gorton,25.5133789,100
Grayndler,43.1331823,100
Greenway,22.4295266,100
Grey,23.3493702,100
Griffith,31.8949715,100
Groom,19.606557,100
Hasluck,28.2047483,100
Hawke*,19.0855124,100
Herbert,20.3243566,100
Higgins,37.0875661,100
Hindmarsh,27.4539517,100
Hinkler,15.0775486,100
Holt,23.7163433,100
Hotham,30.5785583,100
Hughes,28.5621224,100
Hume,26.3781257,100
Hunter,22.5633389,100
Indi,24.7444452,100
Isaacs,33.7744702,100
Jagajaga,34.5779119,100
Kennedy,17.4627325,100
Kingsford Smith,32.9153415,100
Kingston,24.8439892,100
Kooyong,40.3118199,100
La Trobe,21.5976977,100
Lalor,23.413038,100
Leichhardt,22.6242893,100
Lilley,27.1752602,100
Lindsay,20.5687616,100
Lingiari,24.809731,100
Longman,19.1207602,100
Lyne,24.3660105,100
Lyons,21.2094174,100
Macarthur,20.2427076,100
Mackellar,37.1944428,100
Macnamara,36.9457342,100
Macquarie,29.812526,100
Makin,20.1178475,100
Mallee,18.7825363,100
Maranoa,14.3762014,100
Maribyrnong,32.206278,100
Mayo,31.1619125,100
McEwen,31.0746657,100
McMahon,25.9757096,100
McPherson,23.5479532,100
Melbourne,45.6884618,100
Menzies,29.0192966,100
Mitchell,22.6227032,100
Monash,22.6403413,100
Moncrieff,22.3813919,100
Moore,26.9314025,100
Moreton,30.1199889,100
New England,26.6631651,100
Newcastle,32.5336739,100
Nicholls,20.6199422,100
North Sydney,38.877549,100
O'Connor,23.7779868,100
Oxley,24.4005561,100
Page,25.2104485,100
Parkes,17.4846214,100
Parramatta,25.514161,100
Paterson,22.0611767,100
Pearce,20.070024,100
Perth,30.2852251,100
Petrie,20.4415506,100
Rankin,18.026832,100
Reid,28.9107914,100
Richmond,34.3646931,100
Riverina,17.7027818,100
Robertson,29.166845,100
Ryan,30.0539787,100
Scullin,23.4826702,100
Shortland,24.2773538,100
Solomon,24.4190975,100
Spence,14.9718656,100
Sturt,29.1643139,100
Swan,28.2188643,100
Sydney,39.8314798,100
Tangney,30.2998353,100
Wannon,25.4553266,100
Warringah,39.9974835,100
Watson,30.6227647,100
Wentworth,42.4293522,100
Werriwa,19.244087,100
Whitlam,27.6422611,100
Wide Bay,21.0141444,100
Wills,41.6523852,100
Wright,20.5421275,100